Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,BBox_W,BBox_H,Ref_U,Ref_V,Proj_U,Proj_V,Delta_U,Delta_V,Pixel_Error,RU,RV,Is_Matched
1771833213.5882688,13,1,IN2,IN2,1(IN2),-1.0,,0.0,79.84,106.0,97.0,612.0,662.0,,,,,,,,0
1771833213.5882688,11,1,OUT1,OUT1,1(OUT1),-1.0,,0.0,79.84,109.0,86.0,1066.0,671.0,,,,,,,,0
1771833213.5882688,10,1,OUT3,OUT3,1(OUT3),73.54869130802714,31.000163269042968,,0.0,146.0,99.0,1445.0,710.0,,,,,,,,0
1771833213.5882688,7,2,IN2,IN2,2(IN2),57.3587299402991,23.36935501098633,23.36935501098633,82.40178412471592,121.0,107.0,575.0,736.0,513.0,721.0,-62.0,-15.0,63.788713735268246,-0.512396694214876,-0.14018691588785046,1
1771833213.5882688,3,3,IN2,IN2,3(IN2),52.73302155085552,18.282147789001467,18.282147789001467,16.520424287364065,239.0,229.0,401.0,1032.0,456.0,869.0,55.0,-163.0,172.02906731131225,0.2301255230125523,-0.7117903930131004,1
1771833213.5882688,1,4,IN2,IN2,4(IN2),65.68499434604986,15.26161994934082,15.26161994934082,11.030566773398888,181.0,160.0,499.0,822.0,456.0,869.0,-43.0,47.0,63.702433234531945,-0.23756906077348067,0.29375,1
1771833213.5882688,0,2,OUT1,OUT1,2(OUT1),56.587776333188806,,0.0,69.97706883325334,161.0,139.0,1139.0,795.0,,,,,,,,0
1771833213.6262474,13,1,IN2,IN2,1(IN2),47.64475024546899,31.477090072631835,26.496537845949586,77.48117317231613,108.0,98.0,611.0,663.0,,,,,,,,0
1771833213.6262474,11,1,OUT1,OUT1,1(OUT1),-1.0,,0.0,79.84,109.0,86.0,1066.0,671.0,,,,,,,,0
1771833213.6262474,10,1,OUT3,OUT3,1(OUT3),79.0995287832984,,,0.0,145.0,99.0,1443.0,709.0,,,,,,,,0
1771833213.6262474,7,2,IN2,IN2,2(IN2),65.22242292948562,15.102644348144532,22.913611221313477,82.53714072175788,120.0,106.0,575.0,735.0,543.0,772.0,-32.0,37.0,48.91829923454004,-0.26666666666666666,0.3490566037735849,1
1771833213.6262474,3,3,IN2,IN2,3(IN2),52.27045187614163,18.282147789001467,18.282147789001467,16.42303625443625,238.0,230.0,401.0,1035.0,444.0,893.0,43.0,-142.0,148.36778626103444,0.18067226890756302,-0.6173913043478261,1
1771833213.6262474,1,4,IN2,IN2,4(IN2),65.22241708457757,15.102644348144532,15.182225165282187,11.28525728967955,181.0,161.0,498.0,823.0,543.0,772.0,45.0,-51.0,68.01470429252781,0.24861878453038674,-0.3167701863354037,1
1771833213.6262474,0,2,OUT1,OUT1,2(OUT1),56.89615692023947,,0.0,69.97706883325334,162.0,138.0,1139.0,794.0,,,,,,,,0
1771833213.6654832,13,1,IN2,IN2,1(IN2),47.64474818440126,31.318114471435546,26.967367809633668,75.34224979913824,110.0,99.0,610.0,666.0,,,,,,,,0
1771833213.6654832,11,1,OUT1,OUT1,1(OUT1),-1.0,,0.0,79.84,108.0,86.0,1066.0,670.0,,,,,,,,0
1771833213.6654832,10,1,OUT3,OUT3,1(OUT3),74.7822079970965,31.159138870239257,,0.0,144.0,97.0,1438.0,705.0,1373.0,652.0,-65.0,-53.0,83.86894538504703,-0.4513888888888889,-0.5463917525773195,1
1771833213.6654832,7,2,IN2,IN2,2(IN2),65.53080278882562,14.943668746948243,22.442781257629395,82.43813815991767,123.0,108.0,571.0,739.0,544.0,753.0,-27.0,14.0,30.4138126514911,-0.21951219512195122,0.12962962962962962,1
1771833213.6654832,3,3,IN2,IN2,3(IN2),52.27045161696382,18.282147789001467,18.282147789001467,16.191932839972157,239.0,231.0,397.0,1040.0,465.0,927.0,68.0,-113.0,131.88252348207476,0.28451882845188287,-0.48917748917748916,1
1771833213.6654832,1,4,IN2,IN2,4(IN2),65.53079831494001,14.943668746948243,15.087428103488495,11.552102738046715,181.0,161.0,495.0,827.0,544.0,753.0,49.0,-74.0,88.75246475450696,0.27071823204419887,-0.45962732919254656,1
1771833213.6654832,0,2,OUT1,OUT1,2(OUT1),57.20453563500565,,0.0,69.97706883325334,162.0,138.0,1140.0,793.0,,,,,,,,0
1771833213.7043533,13,1,IN2,IN2,1(IN2),46.7196053121427,31.318114471435546,27.43380896411365,73.65679396993369,109.0,99.0,609.0,667.0,,,,,,,,0
1771833213.7043533,11,1,OUT1,OUT1,1(OUT1),-1.0,,0.0,79.84,107.0,85.0,1065.0,669.0,,,,,,,,0
1771833213.7043533,10,1,OUT3,OUT3,1(OUT3),79.09953794105625,,,0.0,143.0,97.0,1435.0,703.0,,,,,,,,0
1771833213.7043533,7,2,IN2,IN2,2(IN2),65.3766132742299,14.784693145751953,21.976340103149415,82.22689157362386,124.0,109.0,570.0,741.0,562.0,763.0,-8.0,22.0,23.40939982143925,-0.06451612903225806,0.2018348623853211,1
1771833213.7043533,3,3,IN2,IN2,3(IN2),-1.0,,18.282147789001467,16.159548974292214,241.0,233.0,395.0,1045.0,,,,,,,,0
1771833213.7043533,1,4,IN2,IN2,4(IN2),65.37660853299603,14.784693145751953,14.979080742329613,11.802836275917644,182.0,162.0,494.0,830.0,562.0,763.0,68.0,-67.0,95.46203433826454,0.37362637362637363,-0.41358024691358025,1
1771833213.7043533,0,2,OUT1,OUT1,2(OUT1),57.20453484219035,,0.0,69.97706883325334,163.0,138.0,1139.0,793.0,,,,,,,,0
1771833213.749735,13,1,IN2,IN2,1(IN2),63.14085862546924,24.16423044204712,27.82545395410387,72.45649909784798,110.0,99.0,608.0,668.0,582.0,681.0,-26.0,13.0,29.068883707497267,-0.23636363636363636,0.13131313131313133,1
1771833213.749735,11,1,OUT1,OUT1,1(OUT1),57.82129433825172,,0.0,79.84,107.0,84.0,1064.0,668.0,,,,,,,,0
1771833213.749735,10,1,OUT3,OUT3,1(OUT3),76.94086876720121,194.2676971435547,,0.0,142.0,96.0,1433.0,700.0,,,,,,,,0
1771833213.749735,7,2,IN2,IN2,2(IN2),75.09059069093104,17.16932201385498,21.431758689880372,81.93453614905054,125.0,110.0,568.0,742.0,544.0,737.0,-24.0,-5.0,24.515301344262525,-0.192,-0.045454545454545456,1
1771833213.749735,3,3,IN2,IN2,3(IN2),-1.0,,18.282147789001467,16.159548974292214,242.0,236.0,393.0,1051.0,,,,,,,,0
1771833213.749735,1,4,IN2,IN2,4(IN2),65.2224211659905,14.784693145751953,14.912757064813155,12.15104843811162,183.0,163.0,492.0,833.0,544.0,737.0,52.0,-96.0,109.17875251164945,0.28415300546448086,-0.588957055214724,1
1771833213.749735,0,2,OUT1,OUT1,2(OUT1),57.05034567535471,,0.0,69.97706883325334,163.0,137.0,1138.0,792.0,,,,,,,,0
1771833213.7904856,23,2,OUT3,OUT3,2(OUT3),75.86154299313573,194.2676971435547,0.0,54.81809643511043,95.0,73.0,1371.0,620.0,1373.0,609.0,2.0,-11.0,11.180339887498949,0.021052631578947368,-0.1506849315068493,1
