Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,Reproj_Error_px
1771495703.9036775,153,12,IN3,IN3,12(IN3),-1.0,,0.0,79.84,
1771495703.9036775,152,23,IN2,IN2,23(IN2),-1.0,,51.41956790641882,41.81677260664253,
1771495703.9036775,151,11,OUT1,OUT1,11(OUT1),95.75207139853822,,0.0,79.84,
1771495703.9036775,146,21,IN2,IN2,21(IN2),52.88720816631019,43.55920486450196,43.18471034184887,29.490777057135347,47.978580474853516
1771495703.9036775,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495703.9591486,153,12,IN3,IN3,12(IN3),-1.0,,0.0,79.84,
1771495703.9591486,152,23,IN2,IN2,23(IN2),76.32410768282851,51.82591552734375,51.57933363260365,41.110119904801344,
1771495703.9591486,151,11,OUT1,OUT1,11(OUT1),95.75207139853822,,0.0,79.84,
1771495703.9591486,146,21,IN2,IN2,21(IN2),55.35425198321616,43.55920486450196,43.30751878386682,29.19646374377038,47.05164337158203
1771495703.9591486,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495704.00242,153,12,IN3,IN3,12(IN3),-1.0,,0.0,79.84,
1771495704.00242,152,23,IN2,IN2,23(IN2),75.39896844559232,51.82591552734375,51.667155635759045,40.36360490562412,63.17910385131836
1771495704.00242,151,11,OUT1,OUT1,11(OUT1),-1.0,,0.0,79.84,
1771495704.00242,146,21,IN2,IN2,21(IN2),51.03692945596695,43.71818046569825,43.442185393464484,28.937724163956027,48.22247314453125
1771495704.00242,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495704.0494864,153,12,IN3,IN3,12(IN3),-1.0,,0.0,79.84,
1771495704.0494864,152,23,IN2,IN2,23(IN2),74.78221138656875,51.666939926147464,51.667082200023806,39.73666140027845,63.17910385131836
1771495704.0494864,151,11,OUT1,OUT1,11(OUT1),95.75207139853822,,0.0,79.84,
1771495704.0494864,146,21,IN2,IN2,21(IN2),50.42016932098099,43.71818046569825,43.53269067173345,28.76556451256227,48.22247314453125
1771495704.0494864,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495704.0974681,153,12,IN3,IN3,12(IN3),-1.0,,0.0,79.84,
1771495704.0974681,152,23,IN2,IN2,23(IN2),74.16545364801479,51.82591552734375,51.72005754857436,39.11666134938904,64.96562194824219
1771495704.0974681,151,11,OUT1,OUT1,11(OUT1),95.75207139853822,,0.0,79.84,
1771495704.0974681,146,21,IN2,IN2,21(IN2),61.05929093832427,42.605354690551756,43.228596384540936,28.53867059844888,
1771495704.0974681,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495704.149631,153,12,IN3,IN3,12(IN3),-1.0,,0.0,79.84,
1771495704.149631,152,23,IN2,IN2,23(IN2),73.54869084089917,51.82591552734375,51.755037723399965,38.490506270128606,
1771495704.149631,151,11,OUT1,OUT1,11(OUT1),95.75207139853822,,0.0,79.84,
1771495704.149631,146,21,IN2,IN2,21(IN2),49.18665035306227,43.71818046569825,43.38914175735601,28.344124125960185,
1771495704.149631,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495704.1996856,153,12,IN3,IN3,12(IN3),-1.0,,0.0,79.84,
1771495704.1996856,152,23,IN2,IN2,23(IN2),-1.0,,51.755037723399965,38.41352525758835,
1771495704.1996856,151,11,OUT1,OUT1,11(OUT1),-1.0,,0.0,79.84,
1771495704.1996856,146,21,IN2,IN2,21(IN2),48.724080042274686,43.877156066894536,43.54917226010757,28.171916632917586,47.85778045654297
1771495704.1996856,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495704.2481782,153,12,IN3,IN3,12(IN3),-1.0,,0.0,79.84,
1771495704.2481782,152,23,IN2,IN2,23(IN2),71.85260258137431,51.82591552734375,51.7829708486053,37.8016722032041,60.86327362060547
1771495704.2481782,151,11,OUT1,OUT1,11(OUT1),95.75207139853822,,0.0,79.84,
1771495704.2481782,146,21,IN2,IN2,21(IN2),47.64474907467182,43.877156066894536,43.65672524891708,28.021036397077822,
1771495704.2481782,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495704.3019369,153,12,IN3,IN3,12(IN3),-1.0,,0.0,79.84,
1771495704.3019369,152,23,IN2,IN2,23(IN2),71.5442210131654,51.82591552734375,51.79828242296145,37.13698672817856,
1771495704.3019369,151,11,OUT1,OUT1,11(OUT1),95.75207139853822,,0.0,79.84,
