Unique_Key,Local_ID,Lane_Path,Final_Lane,Count,Mean_Dist,Min_Dist,Max_Dist,Mean_Radar_Vel,Mean_Track_Vel,Mean_Score
1(IN1),1,IN1,IN1,109,48.17656214962946,-1.0,100.37776486181671,39.73193556515139,36.036955463948495,35.56917593358207
1(IN2),1,IN2,IN2,97,61.531835338460304,-1.0,103.15319381344189,44.84017769006582,43.226870556324805,41.73009623728663
1(IN3),1,IN3,IN3,44,50.9110803549436,-1.0,81.87495180556762,49.70903431741815,49.98153671371533,31.33003603814298
1(OUT1),1,OUT1,OUT1,542,64.84405445025926,-1.0,96.67720893679007,57.01428701227362,9.967274377450162,93.5332354007613
1(OUT2),1,OUT2,OUT2,543,0.163066044331126,-1.0,86.50065754094663,26.091804885864256,1.5084242410726123,79.65345059261547
1(OUT3),1,OUT3,OUT3,75,64.86914044476067,-1.0,97.29396697441052,44.30065439255512,39.413372531635865,43.95896276861063
10(IN2),10,IN2,IN2,135,61.454315196261746,-1.0,103.15318974337657,39.352142577604816,32.82993748831769,43.40264516494103
10(IN3),10,IN3,IN3,103,51.97762729933748,-1.0,103.15318881015718,45.11548821800634,40.19454534662748,45.145840904071996
10(OUT1),10,OUT1,OUT1,18,26.376691731564897,-1.0,98.99005981094835,14.403153076171876,14.58429442721796,39.785285432510186
11(IN2),11,IN2,IN2,114,37.83036889332121,-1.0,97.9107264879146,35.19606680010186,34.322998470752516,47.62819862028968
11(IN3),11,IN3,IN3,107,51.66444661141422,-1.0,102.6906202539298,48.79690727233887,38.42892262249648,61.70811529932915
11(OUT1),11,OUT1,OUT1,112,70.80275747164676,-1.0,96.67720620141074,162.7906036376953,0.0,52.96234101097665
12(IN2),12,IN2,IN2,117,61.80637540653838,-1.0,102.84480878369129,39.153824939727784,34.453229273380586,49.32069371549841
12(IN3),12,IN3,IN3,51,13.83493843646038,-1.0,72.85483152716007,57.13324030362643,34.42364238195902,72.60591759017446
12(OUT1),12,OUT1,OUT1,1,95.7520724240216,95.7520724240216,95.7520724240216,,0.0,79.84
13(IN2),13,IN2,IN2,121,63.5828063008324,-1.0,103.1531880678483,42.148500355807215,36.09185840472047,54.27085479977477
13(IN3),13,IN3,IN3,34,57.81028691848201,-1.0,88.58221356969324,47.8570165305302,41.84171658260412,48.25746610800008
13(OUT1),13,OUT1,OUT1,28,42.43548407735714,-1.0,50.88274011787346,25.313743158487174,25.292619813945105,68.93983902784069
14(IN2),14,IN2,IN2,126,45.92255078542128,-1.0,103.15318663831185,43.198529505729674,33.697182267290884,48.978022084318326
14(IN3),14,IN3,IN3,71,67.76901417960369,-1.0,102.99899890293949,47.90538126422513,45.4351868067079,54.44860130132654
15(IN2),15,IN2,IN2,117,50.660051052877364,-1.0,103.15318912942574,43.963511827256944,36.424811201644594,51.536431672116116
16(IN2),16,IN2,IN2,109,47.56275352175274,-1.0,103.1531885420069,42.80959241390228,37.04326206399037,50.13089292309694
17(IN2),17,IN2,IN2,105,51.57138172927104,-1.0,102.6906166110633,44.865379297411124,38.02343072348775,52.19784241991143
18(IN2),18,IN2,IN2,51,30.340533371350777,-1.0,91.58893670025273,55.92580158835963,33.31677011188993,73.63969566923444
18(IN2->IN1),18,IN2->IN1,IN1,3,63.37213865598599,63.37213865598599,63.37213865598599,57.231072235107426,57.1136971521074,54.80138914108011
19(IN2),19,IN2,IN2,26,-1.0,-1.0,-1.0,,0.0,79.84
2(IN1),2,IN1,IN1,75,57.44340375433316,-1.0,98.9900569520551,52.90325576918466,53.41773592368891,33.92436171521396
2(IN2),2,IN2,IN2,112,41.19723479938115,-1.0,103.15318770562335,44.439682423518256,44.905240628584274,27.087748866838776
2(OUT1),2,OUT1,OUT1,743,75.17414831289763,-1.0,96.06044592283763,18.828166491068327,3.9497659312752593,60.90647601923991
2(OUT2),2,OUT2,OUT2,58,62.982947004072315,-1.0,103.15318607326839,46.10904192083022,47.36162458659026,62.760482121096196
2(OUT2->OUT3),2,OUT2->OUT3,OUT3,40,53.40860997081444,-1.0,103.15318926959638,36.81721099506725,35.18578816568859,73.59193732722194
2(OUT3),2,OUT3,OUT3,97,44.71124245208813,-1.0,103.15318671922861,40.85523108432167,40.555305596995304,36.046350178445905
20(IN2),20,IN2,IN2,56,40.05573306793042,-1.0,103.15319097759618,43.082278422305464,42.40330536766186,53.96200841186351
21(IN2),21,IN2,IN2,57,56.029370227344614,-1.0,88.35093767108289,42.4280346943782,42.27571441428863,38.693528280823486
22(IN2),22,IN2,IN2,54,74.15268201679709,-1.0,99.91519754247234,49.701150226593015,49.71872658677945,48.940618468158135
22(IN2->IN3),22,IN2->IN3,IN3,20,27.157629952666298,-1.0,51.1911196351356,50.01094722747803,50.00497487409314,35.436074959705955
23(IN2),23,IN2,IN2,29,34.90950023459115,-1.0,102.07385636158561,41.16012476140803,37.64914915368579,68.61607006917941
24(IN2),24,IN2,IN2,5,10.949287095339127,-1.0,58.74643547669564,51.666939926147464,26.216188036600748,78.43276205348687
3(IN2),3,IN2,IN2,125,45.62390160533883,-1.0,103.15318890561244,45.209366867065434,32.87823257425042,60.42868302363365
3(IN3),3,IN3,IN3,131,59.600896616361766,-1.0,103.1531908117854,42.26037691497803,33.44739843646312,52.87008918703797
3(OUT1),3,OUT1,OUT1,147,62.30776781427153,-1.0,102.53642930050648,25.010364638087903,21.123288489821803,76.34239437728925
3(OUT2),3,OUT2,OUT2,291,76.26851700064468,-1.0,103.1531913722713,28.802945803432934,13.593985835128006,72.37156184339837
3(OUT3),3,OUT3,OUT3,90,53.8652517608433,-1.0,103.15318987790518,39.689909886505646,39.52233274636385,64.21191142376298
4(IN2),4,IN2,IN2,121,57.69502097914156,-1.0,102.22804672302652,38.58310964030604,32.34987292556963,52.798062112763326
4(IN3),4,IN3,IN3,97,55.27446421573557,-1.0,91.28056169541793,43.40336707516721,42.322682946927415,48.36753021305688
4(OUT1),4,OUT1,OUT1,64,60.196892702967546,-1.0,94.3643525603688,28.803178577735775,26.600020671916305,58.82144681095312
4(OUT2),4,OUT2,OUT2,63,55.77193696841819,-1.0,86.96322540606438,43.77779535880456,41.32328337561887,74.25943816281193
4(OUT2->OUT3),4,OUT2->OUT3,OUT3,41,50.90069926701273,-1.0,102.84480741286075,35.57431364926425,34.49224758049708,76.7197180582395
4(OUT3),4,OUT3,OUT3,100,55.03255547918219,-1.0,102.07385662458552,37.69108602936204,37.54700533748688,67.18447037847784
5(IN2),5,IN2,IN2,78,50.64511033787357,-1.0,90.20122631033996,39.9329252243042,33.52452452446738,48.56375990256894
5(IN3),5,IN3,IN3,59,63.86226575103901,-1.0,83.4168557208975,43.93109265395573,43.87438309583733,17.352746666305773
5(OUT1),5,OUT1,OUT1,140,67.17129194808085,-1.0,102.53643210327682,16.86448245343474,12.941242758567165,69.63986973853137
5(OUT2),5,OUT2,OUT2,135,54.26122664792133,-1.0,103.15319350729328,27.55881871167351,24.137828096008466,61.477951500852754
5(OUT3),5,OUT3,OUT3,58,64.11122779221235,-1.0,92.66826486282143,37.49213231173429,37.52286868848937,74.50257943078384
6(IN2),6,IN2,IN2,102,43.71079752663625,-1.0,95.98335251332367,38.97541900634766,34.24498769264901,48.70618053644508
6(IN3),6,IN3,IN3,100,45.83075765251799,-1.0,101.91967030660417,43.23873083932059,38.80433129556978,45.30132087278893
6(OUT1),6,OUT1,OUT1,178,54.88696407624076,-1.0,103.15320114607053,13.323147370738369,11.595097083107905,67.27877112324258
6(OUT2),6,OUT2,OUT2,130,-1.0,-1.0,-1.0,,0.0,69.49859315598397
6(OUT3),6,OUT3,OUT3,45,57.87299173269112,-1.0,78.17439249928931,36.38086219200722,36.39248263055461,65.97551998336459
7(IN2),7,IN2,IN2,139,60.005447873690386,-1.0,103.1531875634264,34.2081633081976,32.266807237326745,45.431602696612075
7(IN3),7,IN3,IN3,113,49.90706312311791,-1.0,102.07386001694692,44.10972974565294,43.95329078421213,35.66570093104436
7(OUT1),7,OUT1,OUT1,94,54.36600882161986,-1.0,83.26266308577425,13.729676338759335,8.906073672670695,74.55491367884193
7(OUT3),7,OUT3,OUT3,9,21.031061630096534,-1.0,48.5698886677172,30.68221206665039,12.035881134559368,80.10311105523768
8(IN2),8,IN2,IN2,128,71.14738542286368,-1.0,102.38223441332671,32.7359660171881,32.1810965601868,34.02658783642815
8(IN3),8,IN3,IN3,85,7.764032459838238,-1.0,79.09953486786975,46.75195655822754,41.24646742987015,27.922433327658688
8(OUT1),8,OUT1,OUT1,45,99.4543894643963,-1.0,102.84481013530548,162.7906036376953,0.0,34.044751647284414
9(IN2),9,IN2,IN2,136,57.71913532447446,-1.0,102.84480843623875,34.326245619397646,31.160829758730642,52.69212177631579
9(IN3),9,IN3,IN3,114,61.94625423743493,-1.0,103.15318828004416,38.63683069128739,37.9292952489223,44.66892348533891
9(OUT1),9,OUT1,OUT1,4,47.37603362927209,-1.0,95.75207015687039,,0.0,79.84
