Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score
1771504451.7738338,17,1,IN2,IN2,1(IN2),-1.0,,39.890446159967986,73.18761576937884
1771504451.7738338,15,1,IN3,IN3,1(IN3),66.45594407282756,50.2361629486084,49.908872929061076,44.3496869819492
1771504451.7738338,14,2,OUT1,OUT1,2(OUT1),-1.0,,25.22248949838998,34.11942794408046
1771504451.7738338,5,1,OUT1,OUT1,1(OUT1),95.75207053146762,,0.0,93.75322340117106
1771504451.7738338,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504451.8224087,17,1,IN2,IN2,1(IN2),-1.0,,39.890446159967986,73.18761576937884
1771504451.8224087,15,1,IN3,IN3,1(IN3),66.30175059600651,50.39513854980469,50.06833215535023,43.36029555538534
1771504451.8224087,14,2,OUT1,OUT1,2(OUT1),44.406753380991375,25.27705707550049,25.246875420353316,35.08033311020457
1771504451.8224087,5,1,OUT1,OUT1,1(OUT1),95.59787787195575,,0.0,93.75322340117106
1771504451.8224087,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504451.8752236,17,1,IN2,IN2,1(IN2),-1.0,,39.890446159967986,73.18761576937884
1771504451.8752236,15,1,IN3,IN3,1(IN3),65.22242013785778,50.39513854980469,50.1754996998515,42.58308589270192
1771504451.8752236,14,2,OUT1,OUT1,2(OUT1),45.02351658511003,25.27705707550049,25.25827447040211,36.00782582294186
1771504451.8752236,5,1,OUT1,OUT1,1(OUT1),96.21464101351901,,0.0,93.75322340117106
1771504451.8752236,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504451.9282913,17,1,IN2,IN2,1(IN2),-1.0,,39.890446159967986,73.18761576937884
1771504451.9282913,15,1,IN3,IN3,1(IN3),64.91404001758667,50.55411415100098,50.29965589832596,41.76702779712541
1771504451.9282913,14,2,OUT1,OUT1,2(OUT1),-1.0,,25.25827447040211,35.93581017129598
1771504451.9282913,5,1,OUT1,OUT1,1(OUT1),-1.0,,0.0,93.75322340117106
1771504451.9282913,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504451.9780896,17,1,IN2,IN2,1(IN2),98.52748243656637,39.743800735473634,39.803315565793376,70.14944530928655
1771504451.9780896,15,1,IN3,IN3,1(IN3),63.063757723770664,50.55411415100098,50.383098354028824,40.957568538004324
1771504451.9780896,14,2,OUT1,OUT1,2(OUT1),45.33190079839444,25.27705707550049,25.26599339476729,37.13240876992029
1771504451.9780896,5,1,OUT1,OUT1,1(OUT1),-1.0,,0.0,93.75322340117106
1771504451.9780896,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504452.0391989,17,1,IN2,IN2,1(IN2),98.29620076640376,39.90277633666992,39.84607633893947,67.71956515845716
1771504452.0391989,15,1,IN3,IN3,1(IN3),62.446997424636265,50.71308975219727,50.49130971187346,40.18060801315417
1771504452.0391989,14,2,OUT1,OUT1,2(OUT1),46.719609971772314,25.27705707550049,25.270014457375833,38.48366805721273
1771504452.0391989,5,1,OUT1,OUT1,1(OUT1),96.36882767098136,,0.0,93.75322340117106
1771504452.0391989,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504452.0955558,17,1,IN2,IN2,1(IN2),-1.0,,39.84607633893947,67.58412602814025
1771504452.0955558,15,1,IN3,IN3,1(IN3),-1.0,,50.49130971187346,40.10024679712786
1771504452.0955558,14,2,OUT1,OUT1,2(OUT1),46.71960829975118,25.27705707550049,25.27243425784335,39.34315206943027
1771504452.0955558,5,1,OUT1,OUT1,1(OUT1),96.21463794994126,,0.0,93.75322340117106
1771504452.0955558,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504452.1577125,17,1,IN2,IN2,1(IN2),-1.0,,39.84607633893947,67.58412602814025
1771504452.1577125,15,1,IN3,IN3,1(IN3),60.9051006651529,51.03103752136231,50.70351723198899,39.54204040166637
1771504452.1577125,14,2,OUT1,OUT1,2(OUT1),47.49055858920204,25.27705707550049,25.273982563341953,40.28010069059362
