timestamp,iter_idx,iterations_total,bbox_ref_mode,calib_exit_code,Rt_multiline,valid_tracks,rmse_abs_mean,rmse_abs_median,rmse_db_mean,rmse_db_median,ru_abs_mean,rv_abs_mean,angle_diff_mean_deg,global_bias_u,global_bias_v,distance_bins_text,lane_rmse_text,distance_bias_v_text
2026-03-03T17:08:07,2,10,bottom,-1,"{
    ""R"": [[1, 0.0, 0.0],
          [0.0, 0.0, -1.0],
          [0.0, 1.0, 0.0]],
    ""t"": [0.08, 0.0, -0.08]
}",,,,,,,,,,,,,
2026-03-03T17:09:35,1,1000,bottom,0,"{
    ""R"": [[0.9990668171824694, -0.028846158290610973, 0.0321464454763174],
          [0.02737639531966199, -0.15274739632382003, -0.9878860085534129],
          [0.03340700202338445, 0.9878441841040351, -0.15181515124533101]],
    ""t"": [0.0382261797785759, 0.6491603851318359, -1.3772391080856323]
}",28.0,33.76,30.04,18.37,16.06,0.18,0.116,8.02,-21.23,6.55,"30-40m: RMSE 59.91, Bias(-38.6,-30.53), N=23
40-50m: RMSE 31.02, Bias(-16.71,6.5), N=219
50-60m: RMSE 34.4, Bias(-20.31,9.01), N=195
60-70m: RMSE 33.49, Bias(-22.33,9.83), N=152
70-80m: RMSE 32.99, Bias(-20.56,7.04), N=109
80-90m: RMSE 30.71, Bias(-26.71,8.7), N=65
90-100m: RMSE 34.07, Bias(-25.82,1.39), N=59
100-110m: RMSE 42.98, Bias(-31.08,5.77), N=5","IN1: RMSE 27.32, Bias(-13.73,14.46), N=138
IN2: RMSE 28.04, Bias(-17.53,12.01), N=138
IN3: RMSE 28.4, Bias(-15.46,8.5), N=138
OUT1: RMSE 35.1, Bias(-27.28,7.42), N=137
OUT2: RMSE 41.13, Bias(-32.07,1.59), N=138
OUT3: RMSE 40.58, Bias(-21.36,-4.68), N=138","30-40m: -30.53
40-50m: 6.5
50-60m: 9.01
60-70m: 9.83
70-80m: 7.04
80-90m: 8.7
90-100m: 1.39
100-110m: 5.77"
2026-03-03T17:10:59,2,1000,bottom,0,"{
    ""R"": [[0.9957911616392842, -0.02664530251658006, -0.08769258950951728],
          [-0.09087437008348843, -0.1627270126039852, -0.9824773627065974],
          [0.011908453426617489, 0.9863112831265707, -0.1644634959928911]],
    ""t"": [0.24984315037727356, 0.46316424012184143, -1.9101941585540771]
}",27.0,35.34,34.55,22.95,22.3,0.172,0.187,9.43,1.37,-9.98,"40-50m: RMSE 47.22, Bias(18.13,-22.43), N=159
50-60m: RMSE 39.82, Bias(10.33,-13.77), N=255
60-70m: RMSE 26.96, Bias(5.66,-0.75), N=220
70-80m: RMSE 30.3, Bias(-5.65,-9.27), N=170
80-90m: RMSE 32.39, Bias(-10.96,-7.31), N=169
90-100m: RMSE 30.22, Bias(-15.19,-7.99), N=122
100-110m: RMSE 28.49, Bias(-14.74,-7.24), N=37","IN1: RMSE 27.9, Bias(16.35,7.26), N=189
IN2: RMSE 21.33, Bias(-1.71,6.54), N=189
IN3: RMSE 25.26, Bias(-10.22,2.94), N=190
OUT1: RMSE 34.06, Bias(4.56,-18.1), N=191
OUT2: RMSE 41.3, Bias(-8.24,-21.24), N=185
OUT3: RMSE 51.68, Bias(7.33,-37.63), N=188","40-50m: -22.43
50-60m: -13.77
60-70m: -0.75
70-80m: -9.27
80-90m: -7.31
90-100m: -7.99
100-110m: -7.24"
2026-03-03T17:12:24,3,1000,bottom,0,"{
    ""R"": [[0.9991334003122082, -0.02634157812127673, 0.03222684661343859],
          [0.027802866420248474, -0.15382220110307773, -0.9877073104248155],
          [0.030974973759201767, 0.9877473622895104, -0.1529565274538217]],
    ""t"": [0.12595228850841522, 0.5088896751403809, -1.5259267091751099]
}",30.0,24.91,23.25,18.41,17.14,0.127,0.116,11.39,-8.63,4.53,"30-40m: RMSE 42.06, Bias(-22.84,-23.58), N=11
40-50m: RMSE 26.99, Bias(-3.19,-4.06), N=254
50-60m: RMSE 26.82, Bias(-8.36,9.83), N=263
60-70m: RMSE 22.53, Bias(-3.86,8.94), N=215
70-80m: RMSE 22.03, Bias(-7.5,7.88), N=142
80-90m: RMSE 22.31, Bias(-15.45,3.4), N=117
90-100m: RMSE 26.56, Bias(-18.78,2.16), N=110
100-110m: RMSE 32.0, Bias(-26.74,6.59), N=31","IN1: RMSE 22.35, Bias(-2.29,7.33), N=192
IN2: RMSE 18.9, Bias(-3.0,10.1), N=191
IN3: RMSE 23.8, Bias(-6.43,9.08), N=190
OUT1: RMSE 27.11, Bias(-18.6,4.62), N=189
OUT2: RMSE 28.63, Bias(-10.02,-2.04), N=190
OUT3: RMSE 30.07, Bias(-11.54,-1.96), N=191","30-40m: -23.58
40-50m: -4.06
50-60m: 9.83
60-70m: 8.94
70-80m: 7.88
80-90m: 3.4
90-100m: 2.16
100-110m: 6.59"
2026-03-03T17:13:48,4,1000,bottom,0,"{
    ""R"": [[0.9971975940103547, -0.025915217517581877, -0.0701809090919763],
          [-0.07350099647238706, -0.16447048146799279, -0.983639702453725],
          [0.013948548939799209, 0.9860415114115136, -0.16591436271694807]],
    ""t"": [0.31910407543182373, 0.8585323095321655, -1.6462805271148682]
}",28.0,33.78,30.28,20.97,20.98,0.151,0.199,13.08,3.56,-9.31,"30-40m: RMSE 71.69, Bias(16.19,-66.45), N=8
40-50m: RMSE 45.48, Bias(20.48,-13.02), N=158
50-60m: RMSE 40.04, Bias(11.52,-13.91), N=235
60-70m: RMSE 33.79, Bias(7.76,-4.99), N=188
70-80m: RMSE 31.64, Bias(-1.34,-7.81), N=188
80-90m: RMSE 28.2, Bias(-7.29,-6.35), N=160
90-100m: RMSE 28.16, Bias(-12.39,-6.65), N=127
100-110m: RMSE 30.25, Bias(-15.7,-3.58), N=39","IN1: RMSE 32.78, Bias(20.93,16.54), N=185
IN2: RMSE 21.05, Bias(-9.5,7.16), N=183
IN3: RMSE 24.44, Bias(7.1,2.97), N=187
OUT1: RMSE 30.55, Bias(-15.68,-9.04), N=180
OUT2: RMSE 46.95, Bias(9.0,-35.01), N=184
OUT3: RMSE 49.23, Bias(8.88,-38.7), N=184","30-40m: -66.45
40-50m: -13.02
50-60m: -13.91
60-70m: -4.99
70-80m: -7.81
80-90m: -6.35
90-100m: -6.65
100-110m: -3.58"
2026-03-03T17:15:13,5,1000,bottom,0,"{
    ""R"": [[0.9946892399843938, -0.023499044829624588, 0.10020534292822986],
          [0.09550545459253684, -0.15219094904690741, -0.9837258882286638],
          [0.038366964987365464, 0.9880717129441047, -0.14913841248102822]],
    ""t"": [0.34391841292381287, 0.5331546664237976, -1.8860970735549927]
}",26.0,28.54,27.12,20.27,19.95,0.15,0.111,9.62,16.54,0.84,"30-40m: RMSE 33.36, Bias(4.74,-5.3), N=13
40-50m: RMSE 32.89, Bias(19.48,-5.54), N=223
50-60m: RMSE 31.68, Bias(17.49,3.71), N=248
60-70m: RMSE 31.06, Bias(20.73,4.08), N=245
70-80m: RMSE 28.66, Bias(18.18,2.91), N=183
80-90m: RMSE 22.99, Bias(9.37,-0.58), N=137
90-100m: RMSE 23.48, Bias(10.79,-0.82), N=137
100-110m: RMSE 26.31, Bias(9.72,1.82), N=44","IN1: RMSE 27.33, Bias(12.72,-5.98), N=206
IN2: RMSE 30.89, Bias(25.67,6.3), N=204
IN3: RMSE 22.44, Bias(9.56,4.52), N=205
OUT1: RMSE 31.95, Bias(20.9,-0.35), N=207
OUT2: RMSE 23.35, Bias(8.45,3.69), N=203
OUT3: RMSE 37.98, Bias(21.86,-3.05), N=205","30-40m: -5.3
40-50m: -5.54
50-60m: 3.71
60-70m: 4.08
70-80m: 2.91
80-90m: -0.58
90-100m: -0.82
100-110m: 1.82"
2026-03-03T17:16:38,6,1000,bottom,0,"{
    ""R"": [[0.9990282787391903, -0.024132010507709443, -0.03688013487320118],
          [-0.04025485123138527, -0.15889316207621973, -0.986474789337142],
          [0.017945618734074405, 0.9870008151538044, -0.1597101927053352]],
    ""t"": [0.06854619085788727, 0.2556713819503784, -1.5662620067596436]
}",27.0,31.86,23.37,22.05,21.51,0.141,0.182,11.87,-3.23,-11.41,"40-50m: RMSE 41.45, Bias(6.62,-24.57), N=175
50-60m: RMSE 34.29, Bias(-0.75,-11.87), N=287
60-70m: RMSE 28.58, Bias(0.65,-6.46), N=248
70-80m: RMSE 30.0, Bias(-3.87,-9.85), N=197
80-90m: RMSE 30.47, Bias(-12.45,-8.47), N=181
90-100m: RMSE 28.41, Bias(-12.26,-9.8), N=130
100-110m: RMSE 28.99, Bias(-11.48,-6.13), N=50","IN1: RMSE 21.62, Bias(5.9,1.25), N=213
IN2: RMSE 18.44, Bias(-2.3,5.06), N=211
IN3: RMSE 21.43, Bias(-3.76,4.88), N=212
OUT1: RMSE 29.25, Bias(-8.55,-15.68), N=211
OUT2: RMSE 43.43, Bias(-11.21,-27.89), N=211
OUT3: RMSE 48.32, Bias(0.45,-36.16), N=212","40-50m: -24.57
50-60m: -11.87
60-70m: -6.46
70-80m: -9.85
80-90m: -8.47
90-100m: -9.8
100-110m: -6.13"
2026-03-03T17:18:03,7,1000,bottom,0,"{
    ""R"": [[0.9989778946533675, -0.02525285226038921, -0.037489457806697976],
          [-0.041021054933911894, -0.1581338850735658, -0.9865652271612095],
          [0.018985232314464234, 0.9870947106758577, -0.1590081542239595]],
    ""t"": [0.08, 0.0, -0.08]
}",27.0,32.0,25.56,22.1,22.09,0.158,0.169,11.83,-1.87,-9.87,"40-50m: RMSE 43.67, Bias(11.7,-25.51), N=173
50-60m: RMSE 34.21, Bias(2.27,-10.08), N=292
60-70m: RMSE 28.65, Bias(3.25,-3.34), N=256
70-80m: RMSE 28.51, Bias(-6.39,-7.51), N=184
80-90m: RMSE 28.84, Bias(-12.91,-7.95), N=172
90-100m: RMSE 29.89, Bias(-13.89,-7.97), N=135
100-110m: RMSE 30.34, Bias(-13.56,-5.25), N=50","IN1: RMSE 25.81, Bias(14.82,1.19), N=212
IN2: RMSE 19.92, Bias(0.13,6.1), N=211
IN3: RMSE 22.91, Bias(0.05,3.26), N=214
OUT1: RMSE 27.82, Bias(-4.16,-13.01), N=208
OUT2: RMSE 42.86, Bias(-14.93,-24.58), N=211
OUT3: RMSE 47.35, Bias(-7.29,-32.44), N=211","40-50m: -25.51
50-60m: -10.08
60-70m: -3.34
70-80m: -7.51
80-90m: -7.95
90-100m: -7.97
100-110m: -5.25"
2026-03-03T17:19:28,8,1000,bottom,0,"{
    ""R"": [[0.9983987428938181, -0.02614236635835185, 0.050164996454008105],
          [0.04556637245144136, -0.15383812000679795, -0.9870448513286469],
          [0.03352097686019063, 0.9877501756587849, -0.15240057282168876]],
    ""t"": [0.19430914521217346, 0.597399115562439, -1.4498510360717773]
}",26.0,23.82,21.84,18.05,17.48,0.107,0.108,10.26,-2.05,6.78,"30-40m: RMSE 39.96, Bias(-14.45,-27.04), N=13
40-50m: RMSE 23.8, Bias(1.86,2.26), N=231
50-60m: RMSE 24.49, Bias(0.0,13.46), N=187
60-70m: RMSE 23.14, Bias(1.39,12.76), N=153
70-80m: RMSE 19.08, Bias(2.1,9.34), N=104
80-90m: RMSE 15.62, Bias(-7.41,3.59), N=84
90-100m: RMSE 24.37, Bias(-14.55,-0.22), N=91
100-110m: RMSE 32.9, Bias(-24.77,4.91), N=22","IN1: RMSE 21.08, Bias(1.19,5.87), N=148
IN2: RMSE 22.41, Bias(7.71,13.88), N=147
IN3: RMSE 21.12, Bias(-10.81,7.78), N=148
OUT1: RMSE 21.46, Bias(3.61,9.64), N=149
OUT2: RMSE 25.17, Bias(-13.1,5.21), N=145
OUT3: RMSE 27.98, Bias(-1.13,-1.69), N=148","30-40m: -27.04
40-50m: 2.26
50-60m: 13.46
60-70m: 12.76
70-80m: 9.34
80-90m: 3.59
90-100m: -0.22
100-110m: 4.91"
2026-03-03T17:20:51,9,1000,bottom,0,"{
    ""R"": [[0.9983323645135102, -0.027469663423635576, 0.0507730987458475],
          [0.04588702582505248, -0.1560442226270091, -0.9866836278390675],
          [0.03502671588651135, 0.9873680257007135, -0.15452349658896872]],
    ""t"": [0.3160642981529236, 0.4661867618560791, -1.8313512802124023]
}",30.0,25.8,23.44,20.07,19.25,0.112,0.119,7.73,-2.31,-2.83,"30-40m: RMSE 35.68, Bias(-10.76,-18.34), N=7
40-50m: RMSE 33.82, Bias(3.74,-18.86), N=227
50-60m: RMSE 24.52, Bias(-1.01,1.03), N=323
60-70m: RMSE 19.99, Bias(2.16,2.75), N=299
70-80m: RMSE 20.76, Bias(-3.99,1.43), N=222
80-90m: RMSE 20.9, Bias(-9.87,-1.23), N=159
90-100m: RMSE 20.9, Bias(-9.48,-5.69), N=147
100-110m: RMSE 25.09, Bias(-11.1,-1.76), N=50","IN1: RMSE 23.73, Bias(0.56,-6.31), N=239
IN2: RMSE 18.49, Bias(3.52,2.22), N=240
IN3: RMSE 19.98, Bias(-7.96,2.5), N=238
OUT1: RMSE 24.79, Bias(-6.45,-5.44), N=243
OUT2: RMSE 27.07, Bias(-5.71,-5.68), N=235
OUT3: RMSE 29.62, Bias(2.15,-4.28), N=239","30-40m: -18.34
40-50m: -18.86
50-60m: 1.03
60-70m: 2.75
70-80m: 1.43
80-90m: -1.23
90-100m: -5.69
100-110m: -1.76"
