timestamp,iter_idx,iterations_total,bbox_ref_mode,calib_exit_code,Rt_multiline,valid_tracks,rmse_abs_mean,rmse_abs_median,rmse_db_mean,rmse_db_median,ru_abs_mean,rv_abs_mean,angle_diff_mean_deg,global_bias_u,global_bias_v,distance_bins_text,lane_rmse_text,distance_bias_v_text
2/24/26 13:10,1,100,bottom,0,"{
    ""R"": [[0.999479932247102, -0.02364623619224526, -0.02192534034554946],
          [-0.025342099219212214, -0.15552080256078257, -0.9875074976819233],
          [0.019940989004841557, 0.9875495610270861, -0.15603916647021057]],
    ""t"": [-0.3051212430000305, 0.4966122508049011, -1.2166500091552734]
}",32.0,40.37,38.96,22.63,21.15,0.19,0.165,5.3,-25.86,-9.96,"30-40m: RMSE 67.48, Bias(-33.13,-46.83), N=32
40-50m: RMSE 55.65, Bias(-31.36,-23.09), N=327
50-60m: RMSE 42.66, Bias(-24.14,-7.96), N=346
60-70m: RMSE 40.53, Bias(-24.93,-6.08), N=287
70-80m: RMSE 41.06, Bias(-25.41,-6.42), N=205
80-90m: RMSE 35.69, Bias(-24.02,-0.25), N=178
90-100m: RMSE 37.0, Bias(-21.6,-3.03), N=160
100-110m: RMSE 34.94, Bias(-23.76,-7.06), N=36","IN1: RMSE 39.17, Bias(-14.94,4.13), N=262
IN2: RMSE 30.51, Bias(-17.34,7.41), N=262
IN3: RMSE 38.02, Bias(-26.44,-6.01), N=264
OUT1: RMSE 54.29, Bias(-34.28,-20.16), N=259
OUT2: RMSE 48.32, Bias(-31.54,-16.1), N=262
OUT3: RMSE 51.42, Bias(-30.71,-29.18), N=262",30-40m: -46.83 | 40-50m: -23.09 | 50-60m: -7.96 | 60-70m: -6.08 | 70-80m: -6.42 | 80-90m: -0.25 | 90-100m: -3.03 | 100-110m: -7.06
2/24/26 13:14,2,100,bottom,-1,"{
    ""R"": [[0.858475585540003, -0.021885753945403277, -0.512387239113143],
          [-0.5115210102060427, -0.10853819088565629, -0.8523882432536583],
          [-0.03695842460843282, 0.9938513344024396, -0.10437240994129011]],
    ""t"": [0.08, 0.0, -0.08]
}",15.0,46.96,47.92,33.2,29.55,0.156,0.171,18.19,-9.5,-23.54,"40-50m: RMSE 51.02, Bias(-11.66,-35.13), N=118
50-60m: RMSE 46.0, Bias(-13.67,-13.95), N=107
60-70m: RMSE 59.94, Bias(-3.66,-35.79), N=81
70-80m: RMSE 46.5, Bias(-12.77,-14.72), N=77
80-90m: RMSE 36.61, Bias(1.78,-1.04), N=40
90-100m: RMSE 45.76, Bias(-2.23,-17.59), N=5","IN1: RMSE 64.99, Bias(-0.31,-46.57), N=74
IN2: RMSE 48.88, Bias(-6.51,-10.39), N=72
IN3: RMSE 32.56, Bias(-1.98,-5.39), N=72
OUT1: RMSE 47.5, Bias(-20.01,-27.13), N=74
OUT2: RMSE 50.59, Bias(-23.32,-23.76), N=71
OUT3: RMSE 49.86, Bias(-5.12,-27.2), N=73",40-50m: -35.13 | 50-60m: -13.95 | 60-70m: -35.79 | 70-80m: -14.72 | 80-90m: -1.04 | 90-100m: -17.59
2/24/26 13:18,3,100,bottom,0,"{
    ""R"": [[0.9990258603231011, -0.026820076711038175, 0.03504302913421401],
          [0.030425991693508833, -0.1565341704877777, -0.9872037846864097],
          [0.03196231273162029, 0.9873083292239142, -0.15556565691028537]],
    ""t"": [0.3546435832977295, 0.7263434529304504, -1.6365902423858643]
}",27.0,27.03,23.77,20.22,19.29,0.117,0.119,6.58,2.73,0.56,"30-40m: RMSE 47.58, Bias(-0.87,-32.66), N=27
40-50m: RMSE 29.61, Bias(10.49,-4.75), N=263
50-60m: RMSE 31.19, Bias(9.29,5.63), N=232
60-70m: RMSE 28.34, Bias(2.36,3.03), N=237
70-80m: RMSE 26.74, Bias(-0.77,1.76), N=128
80-90m: RMSE 20.58, Bias(-4.78,3.43), N=110
90-100m: RMSE 20.94, Bias(-8.08,-0.03), N=121
100-110m: RMSE 27.52, Bias(-16.12,3.88), N=42","IN1: RMSE 26.63, Bias(12.88,9.82), N=195
IN2: RMSE 20.66, Bias(6.23,12.16), N=193
IN3: RMSE 19.94, Bias(-3.31,6.45), N=193
OUT1: RMSE 23.92, Bias(-7.79,2.24), N=193
OUT2: RMSE 29.34, Bias(-2.6,-9.67), N=193
OUT3: RMSE 42.89, Bias(10.81,-17.64), N=194",30-40m: -32.66 | 40-50m: -4.75 | 50-60m: 5.63 | 60-70m: 3.03 | 70-80m: 1.76 | 80-90m: 3.43 | 90-100m: -0.03 | 100-110m: 3.88
2/24/26 13:22,4,100,bottom,-1,"{
    ""R"": [[0.9967295969049318, -0.07784685651146438, -0.021678966419447037],
          [-0.027633543475265084, -0.07624734412093297, -0.9967059394773892],
          [0.07593746064185107, 0.9940453759491001, -0.0781491690645512]],
    ""t"": [0.08, 0.0, -0.08]
}",9.0,45.49,40.72,39.88,40.25,0.108,0.119,10.04,11.77,-5.6,"40-50m: RMSE 56.76, Bias(37.72,4.98), N=54
50-60m: RMSE 47.15, Bias(12.35,-5.38), N=62
60-70m: RMSE 38.48, Bias(6.45,0.18), N=13
70-80m: RMSE 61.29, Bias(33.08,-28.25), N=39
80-90m: RMSE 37.6, Bias(7.62,-9.94), N=85
90-100m: RMSE 39.68, Bias(-27.13,8.58), N=46","IN1: RMSE 64.28, Bias(29.91,-7.06), N=52
IN2: RMSE 45.12, Bias(21.63,3.07), N=49
IN3: RMSE 56.76, Bias(32.38,-29.01), N=50
OUT1: RMSE 39.66, Bias(17.04,-16.54), N=50
OUT2: RMSE 24.5, Bias(1.51,3.05), N=50
OUT3: RMSE 42.29, Bias(-32.37,13.13), N=50",40-50m: 4.98 | 50-60m: -5.38 | 60-70m: 0.18 | 70-80m: -28.25 | 80-90m: -9.94 | 90-100m: 8.58
2/24/26 13:25,5,100,bottom,0,"{
    ""R"": [[0.9986236655132285, -0.02568085614227735, -0.04573038710444709],
          [-0.04928561753762878, -0.16131144601251338, -0.9856721286965998],
          [0.01793606926997932, 0.9865693645219031, -0.16235512436012237]],
    ""t"": [-0.10670371353626251, 0.5996268391609192, -0.933134138584137]
}",27.0,39.6,37.73,23.13,23.21,0.169,0.197,5.59,-18.24,-14.53,"30-40m: RMSE 76.74, Bias(-20.19,-59.48), N=26
40-50m: RMSE 55.26, Bias(-19.73,-25.55), N=292
50-60m: RMSE 43.2, Bias(-13.97,-15.38), N=298
60-70m: RMSE 41.27, Bias(-17.58,-10.7), N=246
70-80m: RMSE 35.07, Bias(-20.45,-6.96), N=130
80-90m: RMSE 32.22, Bias(-17.91,-2.34), N=140
90-100m: RMSE 36.47, Bias(-22.94,-8.45), N=146
100-110m: RMSE 36.32, Bias(-18.09,-10.09), N=33","IN1: RMSE 24.42, Bias(-0.58,13.57), N=219
IN2: RMSE 27.6, Bias(-13.64,10.27), N=219
IN3: RMSE 36.32, Bias(-24.3,-7.41), N=218
OUT1: RMSE 51.26, Bias(-23.1,-29.26), N=219
OUT2: RMSE 60.72, Bias(-25.74,-36.36), N=218
OUT3: RMSE 52.5, Bias(-22.16,-38.09), N=219",30-40m: -59.48 | 40-50m: -25.55 | 50-60m: -15.38 | 60-70m: -10.7 | 70-80m: -6.96 | 80-90m: -2.34 | 90-100m: -8.45 | 100-110m: -10.09
2/24/26 13:29,6,100,bottom,0,"{
    ""R"": [[0.9978331452201367, -0.027251313265888272, -0.05988639432603685],
          [-0.0634674570027878, -0.15869960827740684, -0.9852848908991738],
          [0.017346359897351525, 0.9869507587807417, -0.16008530082562047]],
    ""t"": [-0.061376333236694336, 0.6257662773132324, -0.9314821362495422]
}",27.0,42.64,42.94,24.97,24.23,0.177,0.197,5.96,-21.28,-16.48,"30-40m: RMSE 70.54, Bias(-18.62,-52.69), N=33
40-50m: RMSE 55.86, Bias(-22.75,-25.59), N=319
50-60m: RMSE 44.65, Bias(-17.3,-15.66), N=290
60-70m: RMSE 44.31, Bias(-23.37,-15.4), N=208
70-80m: RMSE 42.08, Bias(-28.16,-10.68), N=127
80-90m: RMSE 37.53, Bias(-23.49,-5.35), N=120
90-100m: RMSE 40.18, Bias(-16.59,-5.01), N=127
100-110m: RMSE 37.97, Bias(-13.24,-11.84), N=30","IN1: RMSE 37.1, Bias(-1.15,6.12), N=210
IN2: RMSE 28.83, Bias(-16.82,3.57), N=209
IN3: RMSE 43.56, Bias(-27.78,-12.9), N=210
OUT1: RMSE 55.21, Bias(-29.7,-26.25), N=208
OUT2: RMSE 54.93, Bias(-26.35,-29.7), N=211
OUT3: RMSE 56.5, Bias(-25.98,-39.98), N=207",30-40m: -52.69 | 40-50m: -25.59 | 50-60m: -15.66 | 60-70m: -15.4 | 70-80m: -10.68 | 80-90m: -5.35 | 90-100m: -5.01 | 100-110m: -11.84
2/24/26 13:33,7,100,bottom,0,"{
    ""R"": [[0.995871894650686, -0.01839271788635942, 0.08888687964827108],
          [0.08503357129931449, -0.15355605176093148, -0.9844743931254271],
          [0.03175627807123837, 0.9879687479350485, -0.15135815771445976]],
    ""t"": [0.08, 0.0, -0.08]
}",30.0,40.18,40.28,23.51,22.12,0.192,0.15,8.85,22.37,-13.57,"30-40m: RMSE 55.44, Bias(-3.87,-45.89), N=27
40-50m: RMSE 48.02, Bias(8.66,-33.65), N=303
50-60m: RMSE 42.17, Bias(22.92,-10.68), N=346
60-70m: RMSE 41.55, Bias(27.87,-8.15), N=318
70-80m: RMSE 41.0, Bias(29.04,-6.75), N=230
80-90m: RMSE 34.93, Bias(26.43,-4.58), N=180
90-100m: RMSE 35.59, Bias(27.57,-8.59), N=169
100-110m: RMSE 32.39, Bias(17.15,-9.03), N=44","IN1: RMSE 50.33, Bias(32.37,-26.04), N=270
IN2: RMSE 49.45, Bias(43.6,-4.67), N=269
IN3: RMSE 31.87, Bias(27.43,-3.42), N=270
OUT1: RMSE 42.18, Bias(28.41,-12.73), N=270
OUT2: RMSE 35.18, Bias(6.67,-19.08), N=268
OUT3: RMSE 37.74, Bias(-4.32,-15.52), N=270",30-40m: -45.89 | 40-50m: -33.65 | 50-60m: -10.68 | 60-70m: -8.15 | 70-80m: -6.75 | 80-90m: -4.58 | 90-100m: -8.59 | 100-110m: -9.03
2/24/26 13:37,8,100,bottom,0,"{
    ""R"": [[0.9907818367256315, -0.02609224368674211, 0.13293060909353124],
          [0.12771435810522533, -0.14728814165604154, -0.9808135633550757],
          [0.04517072888891448, 0.9887494111992688, -0.1425980613639006]],
    ""t"": [0.08, 0.0, -0.08]
}",23.0,30.59,27.45,22.75,21.43,0.132,0.116,6.55,-3.95,-2.68,"30-40m: RMSE 58.92, Bias(-27.83,-31.43), N=49
40-50m: RMSE 41.65, Bias(-24.52,-12.45), N=230
50-60m: RMSE 27.59, Bias(-2.52,-0.89), N=258
60-70m: RMSE 26.66, Bias(2.7,-0.4), N=226
70-80m: RMSE 25.98, Bias(5.63,5.44), N=159
80-90m: RMSE 21.1, Bias(5.22,3.37), N=134
90-100m: RMSE 20.71, Bias(4.73,1.14), N=136
100-110m: RMSE 25.7, Bias(-1.17,-0.76), N=34","IN1: RMSE 31.43, Bias(0.21,-16.06), N=205
IN2: RMSE 26.51, Bias(12.45,0.76), N=205
IN3: RMSE 18.05, Bias(6.74,6.03), N=204
OUT1: RMSE 25.56, Bias(-3.45,-1.34), N=203
OUT2: RMSE 28.97, Bias(-9.09,4.92), N=204
OUT3: RMSE 47.22, Bias(-30.54,-10.27), N=205",30-40m: -31.43 | 40-50m: -12.45 | 50-60m: -0.89 | 60-70m: -0.4 | 70-80m: 5.44 | 80-90m: 3.37 | 90-100m: 1.14 | 100-110m: -0.76
2/24/26 13:41,9,100,bottom,0,"{
    ""R"": [[0.9994418093007515, -0.032846030110290206, -0.006099846525510895],
          [-0.011350480624825922, -0.16213233338260405, -0.9867037412828115],
          [0.03142031844565434, 0.9862222086213156, -0.16241465085043208]],
    ""t"": [0.12932828068733215, 0.4144602417945862, -1.6064049005508423]
}",31.0,50.4,48.94,25.25,22.75,0.248,0.223,5.89,-29.28,-20.35,"30-40m: RMSE 75.61, Bias(-29.12,-58.67), N=15
40-50m: RMSE 66.18, Bias(-33.24,-44.31), N=286
50-60m: RMSE 47.45, Bias(-26.5,-19.82), N=385
60-70m: RMSE 44.46, Bias(-29.72,-14.55), N=360
70-80m: RMSE 45.16, Bias(-30.2,-13.33), N=251
80-90m: RMSE 45.61, Bias(-31.63,-12.42), N=212
90-100m: RMSE 40.72, Bias(-25.1,-12.65), N=200
100-110m: RMSE 41.84, Bias(-25.48,-14.86), N=37","IN1: RMSE 45.7, Bias(-28.68,-16.35), N=292
IN2: RMSE 31.45, Bias(-22.05,-3.64), N=293
IN3: RMSE 44.61, Bias(-39.5,-6.63), N=290
OUT1: RMSE 49.49, Bias(-33.03,-21.68), N=290
OUT2: RMSE 63.01, Bias(-23.5,-36.13), N=291
OUT3: RMSE 56.62, Bias(-28.99,-37.76), N=291",30-40m: -58.67 | 40-50m: -44.31 | 50-60m: -19.82 | 60-70m: -14.55 | 70-80m: -13.33 | 80-90m: -12.42 | 90-100m: -12.65 | 100-110m: -14.86
2/24/26 13:44,10,100,bottom,0,"{
    ""R"": [[0.9994900093664814, -0.028889857115051997, -0.013605048050766597],
          [-0.018059052369328782, -0.15999769588990836, -0.9869521811807512],
          [0.026336131153106585, 0.9866945390878542, -0.16043782200620282]],
    ""t"": [0.08, 0.0, -0.08]
}",31.0,42.29,43.57,26.09,25.85,0.179,0.225,6.43,-13.96,-19.32,"30-40m: RMSE 51.75, Bias(-5.22,-27.06), N=11
40-50m: RMSE 58.49, Bias(-16.86,-41.28), N=238
50-60m: RMSE 42.84, Bias(-10.52,-21.47), N=374
60-70m: RMSE 38.61, Bias(-11.91,-16.01), N=353
70-80m: RMSE 35.7, Bias(-15.58,-13.42), N=234
80-90m: RMSE 34.97, Bias(-17.92,-11.18), N=237
90-100m: RMSE 34.83, Bias(-13.26,-13.01), N=229
100-110m: RMSE 35.03, Bias(-20.14,-14.4), N=41","IN1: RMSE 29.24, Bias(-3.15,-11.15), N=288
IN2: RMSE 22.16, Bias(-0.96,-1.69), N=286
IN3: RMSE 26.67, Bias(-19.18,-4.8), N=286
OUT1: RMSE 45.45, Bias(-16.49,-27.83), N=286
OUT2: RMSE 57.55, Bias(-18.12,-32.9), N=286
OUT3: RMSE 54.36, Bias(-25.92,-37.6), N=286",30-40m: -27.06 | 40-50m: -41.28 | 50-60m: -21.47 | 60-70m: -16.01 | 70-80m: -13.42 | 80-90m: -11.18 | 90-100m: -13.01 | 100-110m: -14.4
